the_geom,cartodb_id,_user,plz,einwohner,promille
,288,195,327,108785,1.79
,289,72,328,64991,1.11
,291,104,330,65767,1.58
,292,323,331,280296,1.15
,294,170,333,169519,1
,295,74,334,72852,1.02
,297,698,336,267350,2.61
,298,153,337,128384,1.19
,299,96,338,73034,1.31
,301,575,341,190818,3.01
,302,133,342,168696,0.79
,303,87,343,136704,0.64
,304,114,344,134057,0.85
,305,92,345,118437,0.78
,306,37,346,50680,0.73
,310,456,350,159158,2.87
,311,38,351,35144,1.08
,312,66,352,98052,0.67
,313,283,353,121509,2.33
,314,165,354,153059,1.08
,315,94,355,84670,1.11
,316,93,356,114997,0.81
,317,102,357,131027,0.78
,320,114,360,96667,1.18
,321,86,361,156789,0.55
,322,65,362,101701,0.64
,323,66,363,104481,0.63
,324,27,364,74878,0.36
,325,409,370,115865,3.53
,326,133,371,172839,0.77
,327,144,372,94621,1.52
,328,40,373,102394,0.39
,329,28,374,54470,0.51
,330,66,375,91667,0.72
,331,98,376,113753,0.86
,334,529,381,335268,1.58
,335,61,382,122595,0.5
,336,74,383,129502,0.57
,337,123,384,170391,0.72
,338,68,385,111210,0.61
,339,78,386,98298,0.79
,340,19,387,40271,0.47
,341,53,388,150035,0.35
,343,520,391,280895,1.85
,344,62,392,136242,0.46
,345,54,393,155997,0.35
,346,17,394,51629,0.33
,347,62,395,91108,0.68
,348,27,396,76595,0.35
,351,749,402,225711,3.32
,353,288,404,146290,1.97
,354,185,405,156450,1.18
,355,219,406,155951,1.4
,356,161,407,151473,1.06
,357,160,408,125047,1.28
,359,177,410,116603,1.52
,360,57,411,62451,0.91
,361,93,412,76247,1.22
,362,176,413,145242,1.21
,363,190,414,150607,1.26
,364,195,415,178404,1.09
,366,88,417,75005,1.17
,367,146,418,126836,1.15
,369,271,421,121105,2.24
,370,218,422,124390,1.75
,371,167,423,97168,1.72
,372,65,424,59025,1.1
,373,120,425,106952,1.12
,374,175,426,131140,1.33
,375,114,427,81413,1.4
,376,123,428,110771,1.11
,377,37,429,34989,1.06
,381,420,441,171284,2.45
,382,235,442,163602,1.44
,383,210,443,236654,0.89
,385,126,445,160817,0.78
,386,161,446,155035,1.04
,387,304,447,116581,2.61
,388,395,448,245580,1.61
,390,525,451,233561,2.25
,391,152,452,132047,1.15
,392,190,453,200877,0.95
,393,199,454,166948,1.19
,394,91,455,79998,1.14
,395,162,456,148490,1.09
,396,227,457,245588,0.92
,397,205,458,259180,0.79
,398,45,459,74097,0.61
,399,100,460,87357,1.14
,400,81,461,122400,0.66
,401,168,462,194443,0.86
,402,160,463,154088,1.04
,403,163,464,168581,0.97
,404,173,465,166413,1.04
,406,200,470,106308,1.88
,407,164,471,232030,0.71
,408,154,472,149721,1.03
,409,152,474,172752,0.88
,410,160,475,158965,1.01
,411,123,476,127101,0.97
,412,86,477,47207,1.82
,413,293,478,225941,1.3
,414,116,479,79703,1.46
,416,1021,481,289794,3.52
,417,188,482,172478,1.09
,418,150,483,152385,0.98
,419,143,484,182435,0.78
,420,79,485,131113,0.6
,421,140,486,143868,0.97
,422,75,487,80559,0.93
,423,383,490,153924,2.49
,424,118,491,164419,0.72
,425,21,492,34506,0.61
,426,71,493,117352,0.61
